Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
MULTISPECIES: minor capsid protein [Yersinia pseudotuberculosis complex],Yersinia pseudotuberculosis complex,216,263,99%,7e-70,100.00,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_002211779.1?report=genbank&log$=prottop&blast_rank=1&RID=UZ861F0W016"",""WP_002211779.1"")"
unknown [Yersinia pestis],Yersinia pestis,216,216,81%,1e-69,100.00,118,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAC13173.1?report=genbank&log$=prottop&blast_rank=2&RID=UZ861F0W016"",""AAC13173.1"")"
"minor capsid protein, partial [Yersinia pestis]",Yersinia pestis,215,215,81%,1e-69,100.00,104,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_038889803.1?report=genbank&log$=prottop&blast_rank=3&RID=UZ861F0W016"",""WP_038889803.1"")"
"minor capsid protein, partial [Yersinia pestis]",Yersinia pestis,215,215,81%,2e-69,100.00,107,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_025470931.1?report=genbank&log$=prottop&blast_rank=4&RID=UZ861F0W016"",""WP_025470931.1"")"
MULTISPECIES: minor capsid protein [Enterobacter cloacae complex],Enterobacter cloacae complex,215,262,99%,3e-69,99.04,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_169724900.1?report=genbank&log$=prottop&blast_rank=5&RID=UZ861F0W016"",""WP_169724900.1"")"
hypothetical protein [Escherichia coli],Escherichia coli,214,259,99%,1e-68,98.08,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EKE4239951.1?report=genbank&log$=prottop&blast_rank=6&RID=UZ861F0W016"",""EKE4239951.1"")"
MULTISPECIES: minor capsid protein [Enterobacteriaceae],Enterobacteriaceae,214,261,99%,1e-68,98.08,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_058806243.1?report=genbank&log$=prottop&blast_rank=7&RID=UZ861F0W016"",""WP_058806243.1"")"
minor capsid protein [Escherichia coli],Escherichia coli,213,258,99%,1e-68,98.08,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EPA8425348.1?report=genbank&log$=prottop&blast_rank=8&RID=UZ861F0W016"",""EPA8425348.1"")"
"hypothetical protein AI2666V1_5033, partial [Citrobacter freundii]",Citrobacter freundii,213,262,99%,1e-68,98.08,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH3950492.1?report=genbank&log$=prottop&blast_rank=9&RID=UZ861F0W016"",""CAH3950492.1"")"
minor capsid protein [Salmonella enterica],Salmonella enterica,213,259,99%,1e-68,98.08,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_109198760.1?report=genbank&log$=prottop&blast_rank=10&RID=UZ861F0W016"",""WP_109198760.1"")"
MULTISPECIES: minor capsid protein [Escherichia],Escherichia,213,259,99%,1e-68,98.08,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_063122781.1?report=genbank&log$=prottop&blast_rank=11&RID=UZ861F0W016"",""WP_063122781.1"")"
minor capsid protein [Pseudocitrobacter faecalis],Pseudocitrobacter faecalis,213,258,99%,1e-68,98.08,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_421560099.1?report=genbank&log$=prottop&blast_rank=12&RID=UZ861F0W016"",""WP_421560099.1"")"
MULTISPECIES: minor capsid protein [Enterobacteriaceae],Enterobacteriaceae,213,261,99%,2e-68,98.08,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_000469441.1?report=genbank&log$=prottop&blast_rank=13&RID=UZ861F0W016"",""WP_000469441.1"")"
hypothetical protein [Escherichia coli],Escherichia coli,213,259,99%,2e-68,98.08,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NUE21878.1?report=genbank&log$=prottop&blast_rank=14&RID=UZ861F0W016"",""NUE21878.1"")"
minor capsid protein [Citrobacter arsenatis],Citrobacter arsenatis,213,258,99%,2e-68,98.08,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_336285767.1?report=genbank&log$=prottop&blast_rank=15&RID=UZ861F0W016"",""WP_336285767.1"")"
